"Rank","Player","Team","Position","Points","Games","Avg"
"97","Rob Gronkowski","NE","TE","57.5","6","9.6"
"98","Chris Godwin","TB","WR","57.4","5","11.5"
"99","C.J. Beathard","SF","QB","56.4","3","18.8"
"100","Austin Hooper","ATL","TE","56.3","6","9.4"
"101","Kenyan Drake","MIA","RB","56.0","6","9.3"
"101","Robbie Gould","SF","K","56.0","6","9.3"
"102","Kenny Stills","MIA","WR","55.1","6","9.2"
"103","Nelson Agholor","PHI","WR","54.7","6","9.1"
"104","Devin Funchess","CAR","WR","54.7","5","10.9"
"105","Cole Beasley","DAL","WR","54.4","6","9.1"
